Date,SSO,SPY,SSO Return,SPY Return,,,,,,,
6/22/2006,29.831274,96.337875,-1.06%,-0.44%,,,,,,,
6/23/2006,29.827053,96.32238,-0.01%,-0.02%,,,,,,,
6/26/2006,29.999947,96.748108,0.58%,0.44%,,,,,,,
6/27/2006,29.468601,95.91214,-1.77%,-0.86%,,,,,,,
6/28/2006,29.73007,96.562325,0.89%,0.68%,,,,,,,
6/29/2006,30.990955,98.512947,4.24%,2.02%,,,,,,,
6/30/2006,30.974085,98.520653,-0.05%,0.01%,,,,,,,
7/3/2006,31.395788,98.923157,1.36%,0.41%,,,,,,,
7/5/2006,30.978298,98.358124,-1.33%,-0.57%,,,,,,,
7/6/2006,31.0753,98.644531,0.31%,0.29%,,,,,,,
7/7/2006,30.716831,98.00206,-1.15%,-0.65%,,,,,,,
7/10/2006,30.771669,98.18782,0.18%,0.19%,,,,,,,
7/11/2006,31.033113,98.621307,0.85%,0.44%,,,,,,,
7/12/2006,30.421654,97.568596,-1.97%,-1.07%,,,,,,,
7/13/2006,29.50234,95.981766,-3.02%,-1.63%,,,,,,,
7/14/2006,29.23666,95.61026,-0.90%,-0.39%,,,,,,,
7/17/2006,29.207159,95.470917,-0.10%,-0.15%,,,,,,,
7/18/2006,29.253536,95.958588,0.16%,0.51%,,,,,,,
7/19/2006,30.257195,97.289948,3.43%,1.39%,,,,,,,
7/20/2006,29.902966,96.624245,-1.17%,-0.68%,,,,,,,
7/21/2006,29.430658,95.9431,-1.58%,-0.70%,,,,,,,
7/24/2006,30.362616,97.692436,3.17%,1.82%,,,,,,,
7/25/2006,30.746367,98.040794,1.26%,0.36%,,,,,,,
7/26/2006,30.805403,98.17234,0.19%,0.13%,,,,,,,
7/27/2006,30.510214,98.079483,-0.96%,-0.09%,,,,,,,
7/28/2006,31.20602,99.0625,2.28%,1.00%,,,,,,,
7/31/2006,31.121691,98.961853,-0.27%,-0.10%,,,,,,,
8/1/2006,30.843367,98.474236,-0.89%,-0.49%,,,,,,,
8/2/2006,31.079504,99.139923,0.77%,0.68%,,,,,,,
8/3/2006,31.235537,99.403084,0.50%,0.27%,,,,,,,
8/4/2006,31.227106,99.232811,-0.03%,-0.17%,,,,,,,
8/7/2006,31.054218,99.00058,-0.55%,-0.23%,,,,,,,
8/8/2006,30.801172,98.621307,-0.81%,-0.38%,,,,,,,
8/9/2006,30.565029,98.288452,-0.77%,-0.34%,,,,,,,
8/10/2006,30.834936,98.590332,0.88%,0.31%,,,,,,,
8/11/2006,30.611429,98.311676,-0.72%,-0.28%,,,,,,,
8/14/2006,30.716831,98.389076,0.34%,0.08%,,,,,,,
8/15/2006,31.471697,99.56562,2.46%,1.20%,,,,,,,
8/16/2006,31.998819,100.39386,1.67%,0.83%,,,,,,,
8/17/2006,32.129559,100.649307,0.41%,0.25%,,,,,,,
8/18/2006,32.260281,101.160194,0.41%,0.51%,,,,,,,
8/21/2006,32.108463,100.7267,-0.47%,-0.43%,,,,,,,
8/22/2006,32.163292,100.718925,0.17%,-0.01%,,,,,,,
8/23/2006,31.872305,100.440285,-0.90%,-0.28%,,,,,,,
8/24/2006,31.990395,100.355148,0.37%,-0.08%,,,,,,,
8/25/2006,32.049427,100.479019,0.18%,0.12%,,,,,,,
8/28/2006,32.323547,100.9589,0.86%,0.48%,,,,,,,
8/29/2006,32.475353,101.075035,0.47%,0.12%,,,,,,,
8/30/2006,32.47113,101.136948,-0.01%,0.06%,,,,,,,
8/31/2006,32.445831,101.12146,-0.08%,-0.02%,,,,,,,
9/1/2006,32.774765,101.72522,1.01%,0.60%,,,,,,,
9/5/2006,32.833794,101.918747,0.18%,0.19%,,,,,,,
9/6/2006,32.260281,101.020805,-1.75%,-0.88%,,,,,,,
9/7/2006,31.93557,100.556412,-1.01%,-0.46%,,,,,,,
9/8/2006,32.163292,100.842812,0.71%,0.28%,,,,,,,
